TIMESTAMP,Calculated engine load,Engine coolant temperature,Short term fuel trim—Bank 1,Long term fuel trim—Bank 1, Short term fuel trim—Bank 2,Engine RPM,Vehicle speed ,Intake air temperature ,Throttle position ,Fuel Tank Level Input  ,Distance traveled since codes cleared , Relative throttle position, Ambient air temperature,Absolute throttle position B,Absolute throttle position C,Absolute throttle position D,Absolute throttle position E,Absolute throttle position F,Fuel Type
1.50E+12,33.3,80,,,,1009,0,59,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.5,80,,,,1003,0,59,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.9,80,,,,995,0,59,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.5,80,,,,1004,0,60,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.9,80,,,,1005,0,60,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.9,81,,,,1019,0,60,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,33.3,81,,,,1002,0,61,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,33.3,81,,,,1001,0,61,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,33.3,81,,,,1004,0,61,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.9,81,,,,1010,0,62,25,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,34.5,81,,,,1008,0,62,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,34.5,81,,,,1005,0,62,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,34.1,81,,,,1004,0,63,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,34.9,81,,,,998,0,63,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,34.9,81,,,,999,0,63,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,37.3,81,,,,1589,0,64,22,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,26.7,81,,,,2955,0,65,32,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,36.9,82,,,,1050,0,65,26,48.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.4,77,,,,1005,0,42,24,51,,,,,,,,,Biodiesel_Ethanol
1.50E+12,36.5,79,,,,1004,8,43,27,51,,,,,,,,,Biodiesel_Ethanol
1.50E+12,31,79,,,,1069,4,43,25,49.8,,,,,,,,,Biodiesel_Ethanol
1.50E+12,32.2,79,,,,1034,0,44,25,50.6,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.2,79,,,,1013,0,44,24,49.8,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1010,0,45,24,49.8,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1004,0,45,24,49.4,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1005,0,46,24,49.4,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1015,0,47,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1013,0,47,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.4,79,,,,1000,0,48,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.4,79,,,,1012,0,48,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29,79,,,,1005,0,49,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.2,79,,,,1002,0,49,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.8,79,,,,999,0,50,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.8,79,,,,1000,0,50,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,31.4,79,,,,1002,0,51,25,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.6,79,,,,1002,0,51,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,31,79,,,,989,0,51,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.6,79,,,,1012,0,52,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.6,79,,,,1004,0,52,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.2,79,,,,1004,0,52,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.8,79,,,,1010,0,53,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,30.2,79,,,,1003,9,53,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,25.5,79,,,,1139,4,53,25,47.1,,,,,,,,,Biodiesel_Ethanol
1.50E+12,27.1,79,,,,1124,0,53,24,49,,,,,,,,,Biodiesel_Ethanol
1.50E+12,29.8,79,,,,1001,0,53,24,47.1,,,,,,,,,Biodiesel_Ethanol
